"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1183741","0","LONDON VISION","Thomas Pocklington Trust, Entrance D, Tavistock House South, Tavistock Square, LONDON","WC1H 9LG","Holborn and St Pancras","02037613651","info@londonvision.org","www.londonvision.org","31/03/2020","703989.0","702380.0","Registered","CIO","Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Disability, Economic/community Development/employment","People With Disabilities","FOR THE PUBLIC BENEFIT, TO RELIEVE THOSE IN NEED IN LONDON WHO ARE BLIND OR PARTIALLY SIGHTED, IN PARTICULAR, BUT NOT EXCLUSIVELY, BY: A) PROMOTING IMPROVEMENTS TO SUPPORT INDEPENDENT LIVING IN AREAS INCLUDING HEALTH, EMPLOYMENT, TECHNOLOGY, EDUCATION, TRANSPORT AND SOCIAL INCLUSION. B) PROVIDING SUPPORT SERVICES AND INFORMATION FOR THE CARE AND WELFARE OF PEOPLE WHO ARE BLIND OR PARTIALLY SIGHTED","FOR THE PUBLIC BENEFIT, TO RELIEVE THOSE IN NEED IN LONDON WHO ARE BLIND OR PARTIALLY SIGHTED, IN PARTICULAR, BUT NOT EXCLUSIVELY, BY:
A) PROMOTING IMPROVEMENTS TO SUPPORT INDEPENDENT LIVING IN AREAS INCLUDING HEALTH, EMPLOYMENT, TECHNOLOGY, EDUCATION, TRANSPORT AND SOCIAL INCLUSION.
B) PROVIDING SUPPORT SERVICES AND INFORMATION FOR THE CARE AND WELFARE OF PEOPLE WHO ARE BLIND OR PARTIALLY SIGHTED."
"1113929","0","LATITUDE CARE NETWORK LIMITED","CO ORDINATOR, 7B MELROSE AVENUE, LONDON","NW2 4LH","Brent Central","07951817866","info@latitudecarenetwork.org","www.latitudecarenetwork.org","31/03/2020","28099.0","28083.0","Registered","Charitable company","Provides Other Finance, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","LCN provides Health, Social Care and Social Support, Advice, Information and Advocacy, Counselling/Psychosocial Care, International Development, Sponsor or Undertake Research, social Event and activities, umbrella body, Education, Training and Employment, Enviromnetal and Climate Change, Lobbying and Campaign and Volunteer Recruitment and Development in the London Area and Northern Ugandan Region.","THE OBJECTS FOR WHICH THE COMPANY IS ESTABLISHED ARE PARTICULARLY BUT NOT EXCLUSIVELY FOR INDIVIDUALS FROM SOCIALLY OR ECONOMICALLY DISADVANTAGED BACKGROUND, THE ELDERLY AND PERSONS WITH DISABILITIES:
3.1 TO PRESERVE AND PROTECT THE PHYSICAL AND MENTAL HEALTH OF VULNERABLE AND DISADVANTAGED MEMBERS OF SOCIETY WHO ARE PREDOMINATELY REFUGEES AND ASYLUM SEEKERS LIVING IN THE LONDON AREA.
3.2 TO RELIEVE THE NEEDS OF ELDERLY AND DISABLED PEOPLE AND PEOPLE FACING DIFFICULTIES IN FAMILY RELATIONSHIPS.
3.3 TO ADVANCE EDUCATION THROUGH VOCATIONALTRAINING FOR THE UNEMPLOYED OF THOSE SEEKING EMPLOYMENT INCLUDING SINGLE PARENTS, REFUGEES AND ASYLUM SEEKERS.
3.4 TO RELIEVE POVERTY AND DISTRESS AMONGST THE PEOPLE IN AFRICA, IN PARTICULAR THOSE WHO ARE VICTIMS OF WAR AND NATURAL DISASTERS.
3.5 TO PROMOTE EQUALITY AND DIVERSITY IN SOCIETY BY HOLDING VARIOUS SOCIAL AND CULTURAL EVENTS OF SUFFICIENT CONTENT AND QUALITY FOR THE BENEFIT OF THE PUBLIC."
"1072333","0","ELCENA JEFFERS FOUNDATION","PO BOX 63057, LONDON","NW9 1LQ","Hendon","07963117730","INFO.EJF1@GMAIL.COM","","31/12/2019","1000.0","1000.0","Registered","Charitable company","Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Elcena Jeffers Foundation (EJF) work internationally to Eradicating World Poverty Programme using international laws, legislations and policies. Aims to help people into work in whatever way that they can; promote independent living plans by researching employment, eradicating worklessness and using loans.","TO RELIEVE PERSONS OF ANY AGE MADE VULNERABLE BY SICKNESS AND ILL HEALTH, MENTAL OR PHYSICAL DISABILITY, AND INFIRMITIES RELATED AND ASSOCIATED WITH AGEING (THE BENEFICIARIES) RESIDENT IN THE UNITE KINGDOM, CARIBBEAN AND ELSEWHERE IN THE WORLD, IN PARTICULAR BUT NOT EXCLUSIVELY BY THE :(1) PROVISION OF INFORMATION AND ADVICE REGARDING HEALTH, EDUCATION, TRAINING, WELFARE BENEFITS COMMUNITY CARE. (11) PROVISION OF FINANCIAL ASSISTANCE FOR THOSE BENEFICIARIES IN NECESSITOUS CIRCUMSTANCES"
"264894","0","SHARE COMMUNITY LIMITED","64 ALTENBURG GARDENS, LONDON","SW11 1JL","Battersea","02079242949","info@sharecommunity.org.uk","www.sharecommunity.org.uk","31/03/2020","1255569.0","1151712.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Education/training, Disability, Economic/community Development/employment","People With Disabilities","Share provides vocational training, education, and opportunities for personal development to disabled people - especially those with learning disabilities, who may also have autism - and those facing health related barriers to independence and employment.  We have 2 social enterprises offering catering and gardening services.  Based in Wandsworth, we have no geographical boundaries.","TO ASSIST PERSONS OF ANY NATIONALITY WHO ARE SUFFERING FROM ANY FORM OF DISABLEMENT. SEE MEMORANDUM AND ARTICLES FOR FULL DETAILS."
"1098527","0","FUTURE CHALLENGES (F.C.)","FRONT DESK, Dunbar Business Centre, 2-3 Sheepscar Court, Northside Business Park, LEEDS","LS7 2BB","Leeds North East","07889449573","futurechallenges@yahoo.co.uk","www.futurechallenges.org.uk","31/03/2020","14020.0","13945.0","Registered","Other","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","HELPING PEOPLE LIVING IN LONDON & WEST YORKSHIRE AREAS IN PARTICULAR LEEDS IN 
SOFT SKILLS
EMPLOYMENT TRAINING
LITERACY/NUMERACY
WORK PLACEMENT
ARTS WORKSHOPS
SPORTING EVENT
CULTURAL ACTIVITIES","1. TO ADVANCE THE EDUCATION OF THE PUBLIC IN PARTICULAR BUT NOT EXCLUSIVE PERSONS OF CENTRAL AFRICAN DESCENT RESIDENT WITHIN LAMBETH BOROUGH AND THE SURROUNDING AREAS, BUT WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING:A) TO ADVANCE THE EDUCATION OF YOUNG PEOPLE BY THE PROVISION OF EDUCATION AND TRAINING WITH A VIEW TO HELPING THEM INTO EMPLOYMENT.B) THE ADVANCEMENT OF PUBLIC EDUCATION IN MATTERS CONCERNING INTERPERSONAL RELATIONSHIPS, LIFE SKILLS, STRENGTHENING AND ENRICHING FAMILY LIFE, PARENTING SKILLS AND RELATIONSHIPS.2. TO PROVIDE FACILITIES FOR PERSONS OF CENTRAL AFRICAN DESCENT IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND OTHER LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID PEOPLE."
"1058631","0","LEWISHAM REFUGEE AND MIGRANT NETWORK","Sayes Court, 341 EVELYN STREET, LONDON","SE8 5QX","Lewisham, Deptford","02086940323","info@lrmn.org.uk","www.lrmn.org.uk","31/03/2020","725011.0","649511.0","Registered","Charitable company","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups","Information and advice on asylum, immigration, welfare benefits, housing, employment, access to health, education and  employment. Counselling and therapeutic activities for vulnerable asylum seeking, migrant and refugee  women who survived gender based violence, ESOL provision and other integration activities,  mental health prevention and policy campaign and advocacy.","TO RELIEVE THE POVERTY OF REFUGEES.TO ADVANCE THE EDUCATION OF REFUGEES.TO EDUCATE THE GENERAL PUBLIC OF THE RIGHTS AND NEEDS OF REFUGEES"
"1086659","0","THE PORTLAND SCULPTURE AND QUARRY TRUST","THE PORTLAND SCULPTURE AND QUARRY, DRILL HALL HOUSE, EASTON LANE, PORTLAND, DORSET","DT5 1BW","South Dorset","01305826736","psqt@learningstone.org","www.learningstone.org","31/03/2020","45389.0","38783.0","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Sponsors Or Undertakes Research, Other Charitable Activities","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Defined Groups, The General Public/mankind","Regeneration of a former industrial landscape that gives in-depth access to culture, nature, education and art through the sharing and exchange of knowledge and skills between people from different backgrounds.  Using principles of environmental sustainability in all operations and innovative educational practice that is inclusive and accessible to all in an area of deprivation and high needs.","TO ADVANCE THE EDUCATION OF THE PUBLIC BY THE ENCOURAGEMENT OF STUDY, RESEARCH, PRACTICE AND KNOWLEDGE OF THE ARTS AND SCULPTURE THEREBY STIMULATING PUBLIC INTEREST IN THESE AND OTHER RELATED ARTISTIC AND CULTURAL FIELDS, AND OF THE ENVIRONMENT, GEOLOGY, GEOMORPHOLOGY, ARCHAEOLOGY, CULTURE AND HERITAGE OF THE ISLE OF PORTLAND, DORSET AND OTHER REGIONS IN THE UK AND ELSEWHERE"
"1134405","0","DISABILITY CROYDON","Stafford House, 19 Stafford Road, CROYDON","CR0 4NG","Croydon South","02086883622","dcsupport@disabilitycroydon.org.uk","www.disabilitycroydon.org.uk","31/03/2020","52033.0","54612.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","Education/training, Disability, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","People With Disabilities","Providing services across the range of disabilities for people in the Croydon area . The service include Advocacy , Employment Services , Information and Advice  and general support

Disability Croydon provides  bespoke Disability Awareness Training - Hidden Disability  Awareness Training and Training on  Equalities and Discrimination to Employers and employees in the Private and Public Sector","TO RELIEVE THE NEEDS OF PEOPLE WITH DISABILITIES WITHIN CROYDON AND SURROUNDING AREAS BY;
A ELIMINATING BARRIERS AND EMPOWERING INDIVIDUALS WITH DISABILITIES TO PARTICIPATE FULLY IN SOCIETY WITHIN THE SOCIAL MODEL OF DISABILITY.
B PROMOTING THE REALITIES OF SELF-REPRESENTATION AND INDEPENDENCE FOR PEOPLE LIVING WITH DISABILITIES.
C ADVISING ORGANISATIONS OF EFFECTIVE CONSULTATION METHODS AND ACTIVE INVOLVEMENT OF PEOPLE WITH DISABILITIES IN SERVICES AND DECISION-MAKING PROCESSES WHICH AFFECT THEIR LIVES.
D INCREASING AWARENESS OF DISABILITY ISSUES AMONG NON-DISABLED PEOPLE AND ORGANISATIONS."
"1004432","0","HAMELIN TRUST","19 Radford Crescent, Billericay, Essex","CM12 0DU","Basildon and Billericay","01277653889","enquiries@hamelintrust.org.uk","www.hamelintrust.org.uk","31/03/2020","2824761.0","2955071.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, Disability, Accommodation/housing, Environment/conservation/heritage, Economic/community Development/employment, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","A range of services, projects and activities to support disabled children, adults & carers including; residential respite/short break services, domiciliary/community based support, resource bases for daytime/evening/weekend activities, supported accommodation, work experience/training projects, supported employment services, accredited training for members of staff, volunteers, and beneficiaries.","To promote the relief of people of all ages who have learning disabilities and/or physical disability and/or sensory impairment and/or are suffering mental distress."
"1106475","0","ZODIAC ARTS","TRINITY METHODIST CHURCH, FERNHEAD ROAD, LONDON","W9 3EA","Westminster North","07714177911","LCC@ZODIACARTS.ORG.UK","www.zodiacsports4all.weebly.com","31/03/2020","22504.0","25109.0","Registered","Charitable company","Provides Services, Other Charitable Activities","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","Zodiac Arts* provide sports and recreation for people with sensory responsiveness, mild and complex disabilities & mainstream clients in Westminster and tri boroughs.BocciaFootballSelf-DefenceCricketTable tennisTabletop CricketKurlingOlympic WeightliftingPower Walking Sports MassageChines cupping  Infant MassageInfant GYMBasket BallChair based exercise","A. TO PROMOTE THE WELFARE OF PEOPLE WITH PHYSICAL DISABILITIES AND/OR LEARNING DIFFICULTIES, IN ANY MANNER WHICH NOW IS, OR HEREAFTER MAY BE, DEEMED BY LAW TO BE CHARITABLE WITHIN THE LONDON BOROUGH CITY OF WESTMINSTER AND IN THE CARIBBEAN. 

B. THE RELIEF OF UNEMPLOYMENT AMONGST THE ETHNIC MINORITY COMMUNITIES IN WESTMINSTER AND THE WIDER COMMUNITY IN THE CARIBBEAN BY THE PROVISION OF VOCATIONAL AND SKILLS TRAINING, ADVICE AND SUPPORT. 

C. THE PROVISION OF FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THOSE PERSONS WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABLEMENT, FINANCIAL HARDSHIP OR SOCIAL AND ECONOMIC CIRCUMSTANCES. 

D.THE ADVANCEMENT OF AMATEUR SPORT AMONGST THE DISABLED AND THE MAINSTREAM POPULATION IN WESTMINSTER AND IN THE CARIBBEAN"
"1064266","0","EAST LONDON COMMUNITY LAW SERVICE","DAHIR COMMUNITY HOUSE, 702 HIGH ROAD LEYTON, LONDON","E10 6JP","Leyton and Wanstead","02085581865","Finance.admin@elclas.org.uk","www.eastlondoncommunitylawservice.org.uk","31/03/2021","63690.0","38955.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","1.Provide free advice, information and representation to asylum seekers, refugees, migrants and others in matters of asylum, immigration, housing, debt ,welfare benefits, hate crime and domestic violence, education, training and employment.2. Low rate fee paying service in imigration is available for clients, who are not eligible for public funding.","(A) THE RELIEF OF POVERTY OF ASYLUM SEEKERS, REFUGEES, MIGRANTS AND OTHER MEMBERS OF THE COMMUNITY WITH RESTRICTED INCOME WHO ARE RESIDENT IN GREATER LONDON BY PROVIDING SUCH PERSONS WITH FREE AND CONFIDENTIAL ADVICE, ASSISTANCE, REPRESENTATION, COUNSELLING, TRANSLATING AND INTERPRETING SERVICES IN MATTERS OF ASYLUM, IMMIGRATION, MONEY, DEBTS, WELFARE BENEFITS, HOUSING, HEALTH, EDUCATION, TRAINING AND EMPLOYMENT; (B) THE ADVANCEMENT OF EDUCATION BY THE PROVISION OF VOCATIONAL TRAINING AND ENGLISH LANGUAGE CLASSES."
